mission_name,timestamp,SensorGps_alt,SensorGps_alt_ellipsoid,SensorGps_c_variance_rad,SensorGps_cog_rad,SensorGps_eph,SensorGps_epv,SensorGps_hdop,SensorGps_heading,SensorGps_heading_accuracy,SensorGps_heading_offset,SensorGps_lat,SensorGps_lon,SensorGps_noise_per_ms,SensorGps_rtcm_injection_rate,SensorGps_s_variance_m_s,SensorGps_time_utc_usec,SensorGps_timestamp_time_relative,SensorGps_vdop,SensorGps_vel_d_m_s,SensorGps_vel_e_m_s,SensorGps_vel_m_s,SensorGps_vel_n_m_s,VehicleGlobalPosition_alt,VehicleGlobalPosition_alt_ellipsoid,VehicleGlobalPosition_delta_alt,VehicleGlobalPosition_eph,VehicleGlobalPosition_epv,VehicleGlobalPosition_lat,VehicleGlobalPosition_lon,VehicleGlobalPosition_terrain_alt,SensorGps_automatic_gain_control,SensorGps_fix_type,SensorGps_jamming_indicator,SensorGps_jamming_state,SensorGps_satellites_used,SensorGps_selected_rtcm_instance,SensorGps_spoofing_state,SensorGps_vel_ned_valid,VehicleGlobalPosition_alt_reset_counter,VehicleGlobalPosition_dead_reckoning,VehicleGlobalPosition_lat_lon_reset_counter,VehicleGlobalPosition_terrain_alt_valid
fast_movements_0,1970-01-01 01:20:35.800,181718.3,226029.3,1.41446649,2.4233253,0.127,0.18,0.52,,0.0,0.0,501121784.9,144179555.0,95.1,0.0,0.0646000049,1714139362899607.0,0.0,0.71999997,0.0066,-0.0055,0.0312000001,-0.0275,180.10066,225.96399,-0.0,0.21159233,0.27006355,50.112178586768565,14.417955436492791,179.78352,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0
fast_movements_0,1970-01-01 01:20:35.900,181719.6,226030.6,1.6063693799999998,2.4233253,0.127,0.18,0.52,,0.0,0.0,501121784.8,144179555.0,95.2,0.0,0.0642000048,1714139362999607.0,0.0,0.71999997,0.0052,-0.004,0.0294000002,-0.023,180.103185,225.967195,0.0,0.211354025,0.24330638999999998,50.112178581453215,14.417955441327505,179.78352,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
fast_movements_0,1970-01-01 01:20:36.000,181720.9,226031.9,1.79827227,2.4233253,0.127,0.18,0.52,,0.0,0.0,501121784.7,144179555.0,95.3,0.0,0.0638000047,1714139363099607.0,0.0,0.71999997,0.0038000000000000004,-0.0024999999999999996,0.0276000003,-0.018500000000000003,180.10571,225.9704,-0.0,0.21111572,0.21654923,50.112178576137865,14.41795544616222,179.78352,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
fast_movements_0,1970-01-01 01:20:36.100,181722.2,226033.2,1.99017516,2.4233253,0.127,0.18,0.52,,0.0,0.0,501121784.6,144179555.0,95.4,0.0,0.0634000046,1714139363199607.0,0.0,0.71999997,0.0024000000000000002,-0.001,0.025800000400000002,-0.014000000000000002,180.10965,225.974915,0.0,0.210944415,0.21437899500000002,50.11217857226552,14.417955450348295,179.78253,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
fast_movements_0,1970-01-01 01:20:36.200,181723.5,226034.5,2.18207805,2.4233253,0.127,0.18,0.52,,0.0,0.0,501121784.5,144179555.0,95.5,0.0,0.0630000045,1714139363299607.0,0.0,0.71999997,0.001,0.0004999999999999996,0.0240000005,-0.009500000000000001,180.11359,225.97943,-0.0,0.21077311,0.21220876,50.11217856839318,14.417955454534368,179.78154,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
fast_movements_0,1970-01-01 01:20:36.300,181724.8,226035.8,2.37398094,2.4233253,0.127,0.18,0.52,,0.0,0.0,501121784.4,144179555.0,95.6,0.0,0.06260000439999999,1714139363399607.0,0.0,0.71999997,-0.0003999999999999993,0.002000000000000001,0.0222000006,-0.0050000000000000044,180.1159,225.982285,0.0,0.210625195,0.212067545,50.112178560599205,14.417955457095488,179.787085,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
fast_movements_0,1970-01-01 01:20:36.400,181726.1,226037.1,2.5658838299999998,2.4233253,0.127,0.18,0.52,,0.0,0.0,501121784.3,144179555.0,95.7,0.0,0.0622000043,1714139363499607.0,0.0,0.71999997,-0.0017999999999999995,0.0035000000000000005,0.020400000699999997,-0.0005000000000000004,180.11821,225.98514,-0.0,0.21047728,0.21192633,50.112178552805226,14.417955459656609,179.79263,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
fast_movements_0,1970-01-01 01:20:36.500,181727.4,226038.4,2.75778672,2.4233253,0.127,0.18,0.52,,0.0,0.0,501121784.2,144179555.0,95.8,0.0,0.061800004199999994,1714139363599607.0,0.0,0.71999997,-0.0031999999999999997,0.005,0.0186000008,0.003999999999999997,180.11653,225.98399999999998,0.0,0.210368595,0.21191680499999999,50.112178549118354,14.417955464802269,179.792175,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
fast_movements_0,1970-01-01 01:20:36.600,181728.7,226039.7,2.94968961,2.4233253,0.127,0.18,0.52,,0.0,0.0,501121784.1,144179555.0,95.9,0.0,0.061400004099999995,1714139363699607.0,0.0,0.71999997,-0.0046,0.0065,0.016800000899999997,0.008499999999999994,180.11485,225.98286,-0.0,0.21025991,0.21190728,50.11217854543149,14.417955469947929,179.79172,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
fast_movements_0,1970-01-01 01:20:36.700,181730.0,226041.0,3.1415925,2.4233253,0.127,0.18,0.52,,0.0,0.0,501121784.0,144179555.0,96.0,0.0,0.061000004,1714139363799607.0,0.0,0.71999997,-0.006,0.008,0.015000001,0.013,180.112455,225.98109,0.0,0.21015091,0.21189956,50.11217854552369,14.41795547311758,179.78914,0.0,4.0,63.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
fast_movements_0,1970-01-01 01:20:36.800,181734.3,226045.4,3.02002302,2.4233253,0.127,0.18,0.52,,0.0,0.0,501121784.1,144179555.0,96.0,0.0,0.0631000036,1714139363899607.0,0.0,0.71999997,-0.0149000006,0.0060999999,0.0158000011,0.0137000001,180.11006,225.97932,-0.0,0.21004191,0.21189184,50.11217854561588,14.41795547628723,179.78656,0.0,4.0,65.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
fast_movements_0,1970-01-01 01:20:36.900,181738.6,226049.8,2.8984535399999998,2.4233253,0.127,0.18,0.52,,0.0,0.0,501121784.2,144179555.0,96.0,0.0,0.0652000032,1714139363999607.0,0.0,0.71999997,-0.023800001199999997,0.0041999998,0.0166000012,0.014400000199999999,180.10799500000002,225.97769,0.0,0.21269574,0.2118747,50.11217855955607,14.417955477220087,179.781235,0.0,4.0,65.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
fast_movements_0,1970-01-01 01:20:37.000,181742.9,226054.2,2.77688406,2.4233253,0.127,0.18,0.52,,0.0,0.0,501121784.3,144179555.0,96.0,0.0,0.0673000028,1714139364099607.0,0.0,0.71999997,-0.032700001799999996,0.0022999996999999994,0.0174000013,0.0151000003,180.10593,225.97606,-0.0,0.21534957,0.21185756,50.11217857349625,14.417955478152946,179.77591,0.0,4.0,65.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
fast_movements_0,1970-01-01 01:20:37.100,181747.2,226058.6,2.6553145799999998,2.4233253,0.127,0.18,0.52,,0.0,0.0,501121784.4,144179555.0,96.0,0.0,0.0694000024,1714139364199607.0,0.0,0.71999997,-0.041600002399999995,0.0003999995999999992,0.0182000014,0.0158000004,180.10649999999998,225.977625,0.0,0.214875015,0.21183459500000001,50.112178588061454,14.417955482817167,179.774355,0.0,4.0,65.0,2.0,31.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
